Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Person
0.099609375,0.044921875,533.6219837,-415.566199,1,-4.795343325,9.686671546,-10.88189394,7.694295125,-3.771453649,1.377347081,-0.36037075,0.05075808,P1
0.099609375,0.05078125,384.8758077,-366.028274,1,-4.888928485,10.17918121,-11.9792037,9.042257752,-4.774366946,1.848699217,-0.499637726,0.072009514,P1
0.11328125,0.05859375,398.5164411,-337.4544679,1,-4.946238161,10.54796885,-13.06250314,10.90887539,-6.793810639,3.210115469,-1.025770737,0.161369385,P1
0.111328125,0.056640625,359.488179,-277.9987823,1,-4.828212575,9.775277885,-10.84797233,7.300326246,-3.172433795,0.965439449,-0.228984752,0.036569135,P1
0.107421875,0.056640625,326.1849865,-373.6016653,1,-4.725918603,9.327781526,-10.14476949,6.948630549,-3.432302613,1.386295511,-0.431433594,0.071723231,P1
0.099609375,0.052734375,365.2950842,-390.1899975,1,-5.055614489,10.95846169,-13.4918864,10.64220142,-5.812896671,2.301444831,-0.63485243,0.093150876,P1
0.1015625,0.05078125,418.7959476,-433.7890564,1,-5.07554742,11.04889472,-13.66991243,10.81750344,-5.83135949,2.147378832,-0.485413808,0.048465537,P1
0.107421875,0.056640625,303.3284886,-374.0008268,1,-4.863698471,10.03999132,-11.70980691,8.868051306,-4.874441762,2.057198094,-0.608092919,0.090807858,P1
0.0859375,0.044921875,336.17733,-411.2760018,1,-4.640947389,8.97267947,-9.434684497,5.930254124,-2.257521105,0.41957883,0.036956271,-0.026302404,P1
0.091796875,0.046875,265.4447105,-289.0628826,1,-4.766425923,9.55926022,-10.66604722,7.545614501,-3.803064551,1.510496513,-0.454323803,0.074504408,P1
0.109375,0.056640625,402.2303865,-436.5810116,1,-4.97980052,10.66079677,-13.16655909,10.85810614,-6.637702152,3.099023275,-0.990607412,0.156749277,P1
0.1015625,0.052734375,400.7194759,-425.750284,1,-4.806947603,9.74612523,-11.01228063,7.857637263,-3.916628176,1.487647032,-0.422448923,0.066904769,P1
0.095703125,0.048828125,302.5539823,-357.0473906,1,-4.823538621,9.758451274,-10.87188836,7.488120243,-3.509659836,1.243149443,-0.336053849,0.051428845,P1
0.107421875,0.0546875,377.714225,-419.4512852,1,-4.937999913,10.2376955,-11.5730181,7.714317429,-2.997845472,0.575178532,-0.009024713,-0.009297317,P1
0.10546875,0.052734375,358.9640879,-391.8102458,1,-4.702694412,9.242636122,-10.0409287,6.916774632,-3.445699052,1.368791821,-0.399680891,0.060808076,P1
0.0859375,0.04296875,280.8718253,-255.6742199,1,-5.046777002,11.02488881,-13.96220289,11.74982781,-7.168376706,3.245427824,-0.995632202,0.152859686,P1
